"Case Number","Description","Date, Time","Weekday","Time","Crime Type","Police Beat","Zip Code","Address","Latitude","Longitude","Accuracy","URL"
13-015622,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","2013-03-28 10:30:00",Thursday,"10:30",ROBBERY,22X,,"2500 block of Hearst Avenue, Oakland 94602",37.801512,-122.208877,Street,"http://oakland.crimespotting.org/crime/2013-03-28/Robbery/276778"
13-015639,"BUY/SELL/POSSESS VEHICLE WITH ALTERED NUMBER","2013-03-28 10:14:00",Thursday,"10:14",VANDALISM,06X,,"800 block of 33rd Street, Oakland 94609",37.823674,-122.274265,Street,"http://oakland.crimespotting.org/crime/2013-03-28/Vandalism/276777"
13-015610,"VEHICLE THEFT - AUTO","2013-03-28 10:10:00",Thursday,"10:10","VEHICLE THEFT",19X,,"800 block of East 10th Street, Oakland 94606",37.791059,-122.253529,Street,"http://oakland.crimespotting.org/crime/2013-03-28/Vehicle_Theft/276776"
13-015605,"POSSESS NARCOTIC CONTROLLED SUBSTANCE","2013-03-28 09:40:00",Thursday,"09:40",NARCOTICS,07X,,"2300 block of West Street, Oakland 94612",37.814766,-122.275003,Street,"http://oakland.crimespotting.org/crime/2013-03-28/Narcotics/276775"
13-015592,"POSSESS NARCOTIC CONTROLLED SUBSTANCE","2013-03-28 08:12:00",Thursday,"08:12",NARCOTICS,02Y,,"700 block of Chester Street, Oakland 94607",37.806356,-122.295719,Street,"http://oakland.crimespotting.org/crime/2013-03-28/Narcotics/276774"
13-015580,"VEHICLE THEFT - AUTO","2013-03-28 07:49:00",Thursday,"07:49","VEHICLE THEFT",06X,,"800 block of 31st Street, Oakland 94608",37.82152,-122.274744,Street,"http://oakland.crimespotting.org/crime/2013-03-28/Vehicle_Theft/276771"
13-015580,"RECEIVE/ETC KNOWN STOLEN PROPERTY","2013-03-28 07:49:00",Thursday,"07:49",THEFT,06X,,"800 block of 31st Street, Oakland 94608",37.82152,-122.274744,Street,"http://oakland.crimespotting.org/crime/2013-03-28/Theft/276772"
13-015580,"POSSESS CONTROLLED SUBSTANCE","2013-03-28 07:49:00",Thursday,"07:49",NARCOTICS,06X,,"800 block of 31st Street, Oakland 94608",37.82152,-122.274744,Street,"http://oakland.crimespotting.org/crime/2013-03-28/Narcotics/276773"
13-015588,"VEHICLE THEFT - AUTO","2013-03-28 07:40:00",Thursday,"07:40","VEHICLE THEFT",28X,,"Oakland, CA, USA",37.804364,-122.271114,Town,"http://oakland.crimespotting.org/crime/2013-03-28/Vehicle_Theft/276770"
13-015572,"ATTEMPTED BURGLARY","2013-03-28 03:45:00",Thursday,"03:45",BURGLARY,21X,,"3000 block of Sheffield Avenue, Oakland 94602",37.796152,-122.221207,Street,"http://oakland.crimespotting.org/crime/2013-03-28/Burglary/276769"
