id,lat,lon
400308,37.800758,-122.227469
400309,37.495016,-121.951359
400312,37.677442,-122.118925
400313,37.993511,-122.301607
400314,37.552335,-122.307355
400316,37.637161,-122.4041
400317,37.529874,-122.093324
400318,37.731198,-122.436258
400319,37.50528,-122.335462
400321,37.659179,-122.103312
400322,37.734299,-122.409462
400323,37.892701,-122.16068
400324,38.018713,-121.942807
400325,37.304612,-121.818006
400329,37.903574,-122.31244
400330,37.398628,-122.026802
400331,37.62072,-122.399676
400333,37.719584,-122.177086
400334,37.701133,-121.81961
400335,37.714602,-121.932779
400336,37.250624,-121.928209
400337,38.075741,-122.231688
400338,37.67345,-122.46795
400339,37.798217,-122.216962
400340,37.623521,-122.40095
400341,37.771469,-122.22307
400343,37.348907,-121.917833
400345,37.882713,-122.1802
400349,38.057912,-122.530824
400350,37.505148,-122.335924
400353,37.383125,-121.967496
400354,37.892849,-122.166614
400359,37.922431,-122.357855
400360,37.730698,-122.187572
400361,37.937368,-122.326196
400363,37.505941,-121.965865
400369,38.088318,-122.109682
400370,37.317672,-121.88931
400372,37.38482,-121.974251
400376,37.496503,-121.924073
400378,37.925318,-122.320965
400380,37.818999,-122.296819
400381,37.590637,-122.36193
400382,38.037635,-122.536716
400383,37.670804,-122.110602
400388,37.480426,-122.174688
400389,37.887084,-122.177406
400390,38.081356,-122.547451
400392,38.063597,-122.535214
400393,37.837669,-122.014011
400394,37.364382,-121.902692
400395,37.914244,-122.325871
400397,37.726891,-122.445512
400400,37.34241,-121.854543
400401,37.827616,-121.997921
400402,37.615421,-122.397724
400406,37.83111,-122.266925
400407,37.914274,-122.325581
400409,37.490584,-121.945998
400410,37.240325,-121.782062
400411,37.980256,-122.317154
400413,37.881791,-122.181562
400414,37.317942,-121.977301
400416,37.228152,-121.974056
400417,37.500569,-121.958606
400418,37.291922,-121.871631
400420,37.587303,-122.351386
400421,37.594295,-122.367943
400422,37.715784,-122.173158
400423,37.541467,-122.065681
400425,37.460699,-122.1415
400427,37.646153,-122.094899
400428,38.041791,-122.536263
400429,37.319424,-121.993175
400430,37.992091,-122.307341
400432,37.864887,-122.30302
400435,37.403153,-122.047463
400436,37.271687,-121.947037
400437,37.812737,-121.993371
400438,37.87761,-122.184005
400439,37.595859,-122.370348
400440,37.353727,-121.865827
400441,37.595999,-122.37006
400442,37.730017,-122.18722
400443,37.937479,-122.325945
400444,37.25025,-121.835557
400445,37.932712,-122.325878
400446,37.77449,-121.974048
400448,37.541756,-122.065675
400449,37.419452,-121.955498
400450,37.83784,-122.013794
400451,37.561479,-122.036403
400453,37.460848,-122.141364
400454,37.803327,-122.301708
400457,37.276926,-121.863886
400460,38.05375,-122.530892
400461,37.254781,-121.878917
400462,38.181993,-122.133971
400463,37.661372,-122.104698
400464,37.258029,-121.962211
400465,37.98862,-122.313232
400468,37.521308,-121.985517
400470,37.914219,-122.317555
400473,37.633527,-122.402853
400474,37.256295,-121.794639
400478,38.01489,-122.269381
400479,37.362439,-121.903211
400480,37.824968,-122.270895
400484,37.616934,-122.398733
400485,37.254231,-121.949216
400486,37.683114,-122.127218
400488,37.608066,-122.067407
400489,37.824791,-122.270978
400490,37.531271,-122.004734
400492,37.780572,-122.173006
400494,37.895807,-122.108492
400495,37.74083,-122.196448
400496,37.560476,-122.041091
400497,37.672002,-122.390835
400498,37.764896,-122.217766
400499,37.331068,-122.014931
400501,38.037848,-122.248287
400503,37.645076,-122.406148
400504,37.531803,-122.330055
400505,37.935249,-122.06006
400507,37.298931,-122.029806
400508,37.34766,-121.919969
